date,NFIB_NFIB Overall_SA_Index,NFIB_NFIB Good time to Expand_SA_Diffusion,NFIB_NFIB Business Conditions_SA_Diffusion,NFIB_NFIB Earnings Changes_SA_Diffusion,NFIB_NFIB Sales Changes_SA_Diffusion,NFIB_NFIB Sales Expactations_SA_Diffusion,NFIB_NFIB Price Change_SA_Diffusion,NFIB_NFIB Price Plans_SA_Diffusion,NFIB_NFIB Employment Changes_SA_Diffusion,NFIB_NFIB Qualified Applicants for Job Openings_SA_Diffusion,NFIB_NFIB Job Openings_SA_Diffusion,NFIB_NFIB Hiring Plans_SA_Diffusion,NFIB_NFIB Compensation_SA_Diffusion,NFIB_NFIB Compensation Plans_SA_Diffusion,NFIB_Credit Condition Regular Borrowers_NSA_Percent,NFIB_Credit Condition Availability of Loans_SA_Diffusion,NFIB_Borrowing Needs Satisfied_NSA_Percent,NFIB_Borrowing Needs Not Satisfied_NSA_Percent,NFIB_Expected Credit Conditions_SA_Diffusion,NFIB_Relative Interest Rate Paid_SA_Diffusion,NFIB_Actual Interest Rate Paid_NSA_Percent,NFIB_NFIB Change in Inventory_SA_Diffusion,NFIB_NFIB Inventory Satisfaction_SA_Diffusion,NFIB_NFIB Inventory Levels_SA_Diffusion,NFIB_NFIB Actual Capital Expenditures_SA_Diffusion,NFIB_NFIB Capital Expenditure Plans_SA_Diffusion,NFIB_Taxes_NSA_Percent,NFIB_Inflation_NSA_Percent,NFIB_Poor Sales_NSA_Percent,NFIB_Financial and Interest Rates_NSA_Percent,NFIB_Labor Cost_NSA_Percent,NFIB_Government Regulation_NSA_Percent,NFIB_Competition from Large Business_NSA_Percent,NFIB_Quality of Labor_NSA_Percent,NFIB_Cost and Availability of Insurance_NSA_Percent,NFIB_Other Problem_NSA_Percent
1/31/1986,100.3,21,11,-12,8,25,7,18,5,#N/A N/A,18,9,20,18,38,-4,#N/A N/A,#N/A N/A,-5,-12,#N/A N/A,0,-3,4,57,31,22,3,14,9,6,10,12,7,0,#N/A N/A
2/28/1986,99.8,19,13,-12,9,27,10,12,0,#N/A N/A,15,7,21,16,41,-6,#N/A N/A,#N/A N/A,-7,-10,#N/A N/A,0,-2,4,54,29,20,3,16,9,5,12,11,6,0,#N/A N/A
3/31/1986,101.5,26,18,-10,7,24,3,14,0,#N/A N/A,19,13,23,16,39,-5,#N/A N/A,#N/A N/A,-5,-16,#N/A N/A,0,-4,2,54,28,21,3,15,9,3,9,12,8,0,#N/A N/A
4/30/1986,101,27,16,-12,4,27,2,13,2,#N/A N/A,16,8,21,16,42,-5,#N/A N/A,#N/A N/A,-4,-29,#N/A N/A,2,-4,1,56,32,20,2,16,8,5,10,12,7,0,#N/A N/A
5/31/1986,102,26,13,-10,2,26,4,16,6,#N/A N/A,15,9,19,16,36,-3,#N/A N/A,#N/A N/A,-1,-26,#N/A N/A,5,1,5,54,34,20,3,14,5,5,13,12,7,0,#N/A N/A
6/30/1986,101.3,23,17,-7,8,23,4,16,-1,#N/A N/A,18,10,17,18,37,-5,#N/A N/A,#N/A N/A,-6,-23,#N/A N/A,1,-3,4,52,30,21,3,17,7,5,8,9,7,1,#N/A N/A
7/31/1986,99.8,20,11,-13,5,28,3,17,2,#N/A N/A,16,7,18,16,42,-5,#N/A N/A,#N/A N/A,-6,-22,#N/A N/A,1,-3,2,51,32,19,2,15,7,5,12,11,7,0,#N/A N/A
8/31/1986,98.8,21,8,-11,8,23,5,15,-7,#N/A N/A,14,5,14,15,43,-6,#N/A N/A,#N/A N/A,-8,-23,#N/A N/A,4,-2,4,56,30,21,2,18,6,5,11,12,7,0,#N/A N/A
9/30/1986,98.6,20,4,-16,3,21,6,17,2,#N/A N/A,17,9,17,18,39,-6,#N/A N/A,#N/A N/A,-8,-23,#N/A N/A,-2,-1,4,50,30,19,3,15,6,6,11,11,8,0,#N/A N/A
10/31/1986,98.8,18,8,-10,8,21,7,16,2,#N/A N/A,16,5,18,14,41,-4,#N/A N/A,#N/A N/A,-6,-23,#N/A N/A,2,-4,3,51,30,21,3,16,5,4,12,11,8,1,#N/A N/A
11/30/1986,97.5,17,5,-15,1,28,6,16,3,#N/A N/A,18,7,21,14,39,-5,#N/A N/A,#N/A N/A,-7,-19,#N/A N/A,6,-7,-5,54,28,21,3,17,5,3,10,13,8,1,#N/A N/A
12/31/1986,100.7,18,5,-5,14,28,8,19,3,#N/A N/A,16,11,16,16,38,-3,#N/A N/A,#N/A N/A,-4,-13,#N/A N/A,3,-1,6,57,29,23,3,16,5,5,11,12,9,0,#N/A N/A
1/31/1987,100.1,19,7,-7,8,25,7,16,2,#N/A N/A,17,7,19,15,36,-4,#N/A N/A,#N/A N/A,-5,-11,#N/A N/A,0,-1,5,53,30,21,3,15,5,5,13,12,8,1,#N/A N/A
2/28/1987,100.6,17,13,-11,3,28,10,15,0,#N/A N/A,20,8,17,13,37,-5,#N/A N/A,#N/A N/A,-6,-8,#N/A N/A,-1,-2,6,55,29,23,3,18,6,5,12,10,7,1,#N/A N/A
3/31/1987,101.2,21,11,-7,12,26,8,17,0,#N/A N/A,18,9,19,16,37,-5,#N/A N/A,#N/A N/A,-5,-10,#N/A N/A,2,-1,3,52,33,20,4,16,7,4,14,11,7,0,#N/A N/A
4/30/1987,100.1,18,5,-10,8,28,9,15,1,#N/A N/A,19,9,20,17,37,-5,#N/A N/A,#N/A N/A,-6,-4,#N/A N/A,4,-2,5,52,31,23,3,14,6,6,12,11,8,1,#N/A N/A
5/31/1987,99.9,18,2,-9,10,27,11,19,1,#N/A N/A,21,11,21,15,38,-5,#N/A N/A,#N/A N/A,-8,11,#N/A N/A,4,-2,4,56,30,25,3,14,6,5,15,11,7,0,#N/A N/A
6/30/1987,101.7,20,9,-7,6,34,12,20,3,#N/A N/A,17,11,20,19,40,-7,#N/A N/A,#N/A N/A,-6,13,#N/A N/A,3,-3,5,54,34,24,3,12,7,7,12,11,9,1,#N/A N/A
7/31/1987,102.5,20,12,-7,9,34,13,21,3,#N/A N/A,20,11,21,18,39,-7,#N/A N/A,#N/A N/A,-6,16,#N/A N/A,2,-1,5,55,35,25,2,13,7,6,15,11,9,0,#N/A N/A
8/31/1987,103.7,21,16,-5,14,37,15,21,5,#N/A N/A,21,14,22,18,37,-5,#N/A N/A,#N/A N/A,-6,13,#N/A N/A,5,-1,8,53,33,23,3,12,6,6,12,13,9,0,#N/A N/A
9/30/1987,102.4,20,9,-2,13,33,16,21,3,#N/A N/A,19,11,24,18,37,-6,#N/A N/A,#N/A N/A,-6,15,#N/A N/A,6,-1,7,58,32,25,3,10,6,6,15,10,9,1,#N/A N/A
10/31/1987,101.6,18,9,-7,12,31,16,20,3,#N/A N/A,20,10,21,19,40,-6,#N/A N/A,#N/A N/A,-7,25,#N/A N/A,1,0,7,56,31,23,3,13,8,6,12,10,8,1,#N/A N/A
11/30/1987,98.6,14,0,-10,10,24,17,16,1,#N/A N/A,22,10,23,16,35,-7,#N/A N/A,#N/A N/A,-8,11,#N/A N/A,11,-2,2,53,29,23,3,13,8,7,12,12,10,1,#N/A N/A
12/31/1987,100,16,-4,-6,11,24,20,18,3,#N/A N/A,22,10,24,17,36,-5,#N/A N/A,#N/A N/A,-5,6,#N/A N/A,8,1,8,56,30,24,3,12,6,6,15,11,10,1,#N/A N/A
1/31/1988,100.4,14,0,-6,6,25,18,19,1,#N/A N/A,25,12,24,21,38,-6,#N/A N/A,#N/A N/A,-7,9,#N/A N/A,4,-5,8,56,34,23,5,10,5,4,18,11,7,0,#N/A N/A
2/29/1988,99.1,15,0,-12,9,23,17,20,1,#N/A N/A,21,10,24,17,32,-5,#N/A N/A,#N/A N/A,-4,-1,#N/A N/A,3,-3,3,53,32,24,3,15,6,4,13,13,9,1,#N/A N/A
3/31/1988,101.6,18,6,-4,13,27,18,23,4,#N/A N/A,18,13,24,20,34,-3,#N/A N/A,#N/A N/A,-5,-1,#N/A N/A,3,-1,8,57,32,25,3,12,6,6,16,12,7,0,#N/A N/A
4/30/1988,100.6,19,4,-10,9,30,17,20,3,#N/A N/A,22,12,22,19,35,-5,#N/A N/A,#N/A N/A,-6,2,#N/A N/A,6,-3,3,55,32,25,3,10,6,7,15,12,10,1,#N/A N/A
5/31/1988,101,19,2,-7,16,36,17,20,4,#N/A N/A,21,11,24,22,37,-6,#N/A N/A,#N/A N/A,-9,6,#N/A N/A,6,-3,3,56,33,24,2,10,8,7,15,10,9,1,#N/A N/A
6/30/1988,101.7,21,4,-4,11,29,17,22,4,#N/A N/A,20,12,24,19,32,-4,#N/A N/A,#N/A N/A,-6,13,#N/A N/A,6,-2,7,58,32,24,3,11,7,6,15,9,10,0,#N/A N/A
7/31/1988,100.1,18,1,-8,10,28,18,26,4,#N/A N/A,20,10,23,18,37,-6,#N/A N/A,#N/A N/A,-6,16,#N/A N/A,6,-2,5,56,31,25,4,11,5,6,17,11,10,1,#N/A N/A
8/31/1988,101.6,22,6,-9,13,31,24,25,4,#N/A N/A,23,12,29,20,35,-4,#N/A N/A,#N/A N/A,-4,21,#N/A N/A,3,-4,6,57,32,25,3,7,6,9,12,10,11,1,#N/A N/A
9/30/1988,100.8,17,2,-9,15,30,22,23,5,#N/A N/A,23,13,22,21,40,-6,#N/A N/A,#N/A N/A,-9,27,#N/A N/A,9,-3,6,55,34,19,3,8,8,7,18,11,12,1,#N/A N/A
10/31/1988,102.1,18,8,-9,13,31,23,24,3,#N/A N/A,24,13,25,21,39,-6,#N/A N/A,#N/A N/A,-7,22,#N/A N/A,5,0,5,55,35,23,2,11,7,6,14,11,12,1,#N/A N/A
11/30/1988,101.8,19,9,-10,7,36,19,23,4,#N/A N/A,24,12,24,21,36,-6,#N/A N/A,#N/A N/A,-8,18,#N/A N/A,4,-2,2,58,34,24,4,10,9,8,13,11,11,0,#N/A N/A
12/31/1988,100.5,17,4,-9,16,31,25,26,5,#N/A N/A,24,12,25,23,41,-7,#N/A N/A,#N/A N/A,-10,28,#N/A N/A,8,-5,4,61,33,22,4,9,9,6,14,14,8,2,#N/A N/A
1/31/1989,101.3,18,3,-5,13,26,22,25,5,#N/A N/A,25,11,25,21,38,-7,#N/A N/A,#N/A N/A,-7,27,#N/A N/A,4,-2,6,57,35,22,3,10,9,6,19,12,10,1,#N/A N/A
2/28/1989,101.9,21,5,-7,13,29,27,24,6,#N/A N/A,24,13,27,20,36,-7,#N/A N/A,#N/A N/A,-9,28,#N/A N/A,6,-2,9,55,33,21,2,10,10,8,17,12,9,1,#N/A N/A
3/31/1989,101.4,17,-1,-7,15,28,25,25,7,#N/A N/A,25,14,29,21,40,-7,#N/A N/A,#N/A N/A,-9,37,#N/A N/A,5,-2,9,58,36,23,2,7,8,9,15,12,10,0,#N/A N/A
4/30/1989,98,14,-6,-14,6,22,24,24,2,#N/A N/A,23,10,24,20,39,-10,#N/A N/A,#N/A N/A,-12,35,#N/A N/A,3,-1,6,57,32,22,4,10,11,7,16,9,9,1,#N/A N/A
5/31/1989,97.3,14,-6,-14,7,21,20,23,8,#N/A N/A,22,11,26,19,39,-10,#N/A N/A,#N/A N/A,-10,30,#N/A N/A,5,-3,-2,59,33,23,4,7,9,4,19,10,11,0,#N/A N/A
6/30/1989,99.4,16,1,-14,4,28,19,21,2,#N/A N/A,23,7,28,17,37,-8,#N/A N/A,#N/A N/A,-7,21,#N/A N/A,5,-1,5,56,30,20,6,10,10,6,17,11,10,1,#N/A N/A
7/31/1989,99.6,17,0,-10,10,25,19,23,4,#N/A N/A,23,8,24,19,36,-7,#N/A N/A,#N/A N/A,-6,7,#N/A N/A,3,-2,3,55,33,21,4,10,10,7,17,10,10,0,#N/A N/A
8/31/1989,99.6,16,8,-11,11,28,18,21,3,#N/A N/A,18,6,28,19,32,-5,#N/A N/A,#N/A N/A,-6,0,#N/A N/A,2,-1,3,51,32,22,4,9,10,7,19,10,10,0,#N/A N/A
9/30/1989,101.9,20,12,-8,11,35,17,20,0,#N/A N/A,22,9,25,18,35,-6,#N/A N/A,#N/A N/A,-7,-4,#N/A N/A,4,0,2,60,31,23,2,10,8,7,16,13,11,0,#N/A N/A
10/31/1989,101.4,17,12,-12,7,31,21,24,2,#N/A N/A,22,12,26,20,37,-6,#N/A N/A,#N/A N/A,-6,3,#N/A N/A,1,-2,4,56,32,22,4,11,7,7,17,11,11,0,#N/A N/A
11/30/1989,99.7,14,2,-15,2,23,16,26,0,#N/A N/A,25,11,25,19,37,-6,#N/A N/A,#N/A N/A,-7,3,#N/A N/A,2,-1,9,60,32,21,4,8,8,8,16,9,13,1,#N/A N/A
12/31/1989,100.3,16,8,-6,11,26,21,19,1,#N/A N/A,20,9,24,27,35,-6,#N/A N/A,#N/A N/A,-7,1,#N/A N/A,3,-3,3,54,33,21,5,10,7,5,19,12,8,0,#N/A N/A
1/31/1990,99.3,16,2,-14,9,23,23,26,-1,#N/A N/A,23,9,25,22,37,-6,#N/A N/A,#N/A N/A,-6,1,#N/A N/A,1,-4,5,57,34,22,4,11,7,7,18,10,10,0,#N/A N/A
2/28/1990,99.2,12,2,-13,9,23,20,22,2,#N/A N/A,21,11,24,21,35,-7,#N/A N/A,#N/A N/A,-7,0,#N/A N/A,-1,-3,6,58,34,18,4,12,9,5,20,11,10,0,#N/A N/A
3/31/1990,100.4,15,5,-10,9,30,15,23,3,#N/A N/A,19,11,23,18,34,-6,#N/A N/A,#N/A N/A,-8,4,#N/A N/A,0,1,4,57,33,24,4,9,7,4,18,11,9,1,#N/A N/A
4/30/1990,99.3,15,4,-12,9,24,18,21,2,#N/A N/A,21,9,25,21,34,-7,#N/A N/A,#N/A N/A,-7,5,#N/A N/A,1,-1,4,56,31,23,4,10,7,7,18,9,9,0,#N/A N/A
5/31/1990,99.4,16,1,-10,8,23,20,21,-1,#N/A N/A,22,13,27,17,36,-10,#N/A N/A,#N/A N/A,-11,7,#N/A N/A,1,-3,4,57,34,24,4,10,8,6,18,9,11,0,#N/A N/A
6/30/1990,98.7,16,2,-12,9,25,16,20,1,#N/A N/A,19,11,26,20,34,-10,#N/A N/A,#N/A N/A,-10,4,#N/A N/A,-2,-3,2,57,31,22,3,9,7,7,19,12,9,1,#N/A N/A
7/31/1990,97.9,13,1,-14,7,22,12,22,2,#N/A N/A,19,9,26,18,38,-10,#N/A N/A,#N/A N/A,-11,6,#N/A N/A,1,-3,6,55,31,23,4,11,7,8,18,9,10,0,#N/A N/A
8/31/1990,95.2,11,-15,-17,5,20,15,20,-1,#N/A N/A,19,6,23,17,36,-11,#N/A N/A,#N/A N/A,-13,6,#N/A N/A,-3,-3,3,54,32,22,4,11,7,6,19,10,10,0,#N/A N/A
9/30/1990,92.9,8,-17,-19,-2,13,16,28,0,#N/A N/A,19,5,26,16,34,-11,#N/A N/A,#N/A N/A,-12,8,#N/A N/A,-2,-6,-2,56,29,24,5,12,6,6,15,10,10,1,#N/A N/A
10/31/1990,91.6,7,-25,-23,-1,9,17,28,-3,#N/A N/A,18,4,24,17,35,-10,#N/A N/A,#N/A N/A,-13,8,#N/A N/A,-6,-3,1,57,28,22,6,13,7,5,17,9,9,0,#N/A N/A
11/30/1990,91.8,8,-19,-22,-3,7,15,24,-4,#N/A N/A,17,1,23,17,34,-10,#N/A N/A,#N/A N/A,-13,7,#N/A N/A,-6,-3,0,57,30,22,5,14,7,5,14,9,11,0,#N/A N/A
12/31/1990,91.7,8,-7,-26,-6,6,15,23,-3,#N/A N/A,15,1,19,17,36,-11,#N/A N/A,#N/A N/A,-13,4,#N/A N/A,-7,-6,-1,54,26,23,7,15,6,6,17,7,7,0,#N/A N/A
1/31/1991,91.2,6,-5,-24,-5,-2,11,18,-2,#N/A N/A,15,1,18,16,35,-10,#N/A N/A,#N/A N/A,-12,-2,#N/A N/A,-6,-4,-1,54,26,25,4,15,6,5,17,9,7,0,#N/A N/A
2/28/1991,95.4,9,22,-20,2,3,9,18,-4,#N/A N/A,14,4,20,14,33,-9,#N/A N/A,#N/A N/A,-10,-10,#N/A N/A,-8,-6,3,53,26,24,5,14,7,6,18,7,6,0,#N/A N/A
3/31/1991,100.1,12,38,-23,-10,24,7,15,-10,#N/A N/A,16,10,20,17,34,-12,#N/A N/A,#N/A N/A,-12,-13,#N/A N/A,-8,-2,7,50,26,23,4,14,6,6,17,11,7,0,#N/A N/A
4/30/1991,100.2,12,39,-26,-11,28,6,17,-6,#N/A N/A,14,8,20,18,36,-11,#N/A N/A,#N/A N/A,-9,-13,#N/A N/A,-10,-2,4,54,30,24,3,17,5,6,18,10,6,0,#N/A N/A
5/31/1991,99.4,11,37,-28,-10,26,8,16,-5,#N/A N/A,13,8,22,15,32,-9,#N/A N/A,#N/A N/A,-7,-19,#N/A N/A,-6,-1,2,51,28,23,5,18,5,6,16,8,7,0,#N/A N/A
6/30/1991,99.6,13,38,-30,-5,26,2,16,-4,#N/A N/A,14,7,22,16,34,-10,#N/A N/A,#N/A N/A,-8,-15,#N/A N/A,-10,-2,1,55,31,21,5,15,5,5,21,9,6,0,#N/A N/A
7/31/1991,100.6,11,39,-22,-4,30,2,18,-4,#N/A N/A,15,7,18,14,35,-11,#N/A N/A,#N/A N/A,-11,-8,#N/A N/A,-9,-1,6,52,28,24,4,15,5,7,17,8,8,0,#N/A N/A
8/31/1991,98.4,15,34,-25,-5,24,8,18,-4,#N/A N/A,13,0,22,13,35,-12,#N/A N/A,#N/A N/A,-11,-9,#N/A N/A,-10,-2,3,49,29,26,4,18,6,5,16,8,7,0,#N/A N/A
9/30/1991,99.4,10,31,-17,0,26,5,18,-6,#N/A N/A,14,5,19,13,36,-10,#N/A N/A,#N/A N/A,-11,-12,#N/A N/A,-4,0,2,51,29,26,3,14,6,6,17,9,7,0,#N/A N/A
10/31/1991,97.8,12,28,-26,-5,24,4,15,-5,#N/A N/A,13,4,16,12,35,-10,#N/A N/A,#N/A N/A,-11,-18,#N/A N/A,-8,-1,1,50,27,25,5,17,5,5,18,8,6,0,#N/A N/A
11/30/1991,95.3,9,18,-27,-9,16,0,16,-4,#N/A N/A,11,3,15,11,38,-12,#N/A N/A,#N/A N/A,-12,-17,#N/A N/A,-7,-1,-2,54,29,24,4,19,5,5,16,9,5,0,#N/A N/A
12/31/1991,95.8,10,20,-29,-10,15,3,11,-6,#N/A N/A,12,1,14,10,36,-10,#N/A N/A,#N/A N/A,-11,-17,#N/A N/A,-9,3,5,52,25,25,5,21,4,5,16,7,5,0,#N/A N/A
1/31/1992,96.7,11,25,-27,-11,19,0,13,-4,#N/A N/A,12,2,15,10,34,-8,#N/A N/A,#N/A N/A,-8,-23,#N/A N/A,-11,-3,2,51,27,24,4,19,4,5,18,8,5,0,#N/A N/A
2/29/1992,98.4,12,28,-24,-5,20,-3,14,-7,#N/A N/A,13,7,12,11,30,-10,#N/A N/A,#N/A N/A,-8,-17,#N/A N/A,-8,1,3,50,27,23,3,18,5,6,20,9,4,0,#N/A N/A
3/31/1992,100.1,10,39,-20,-4,26,5,15,-6,#N/A N/A,13,5,13,12,33,-11,#N/A N/A,#N/A N/A,-9,-20,#N/A N/A,-9,-1,4,50,29,24,4,18,4,5,21,8,5,0,#N/A N/A
4/30/1992,100.6,14,37,-19,1,27,2,14,-1,#N/A N/A,14,6,13,13,33,-8,#N/A N/A,#N/A N/A,-8,-15,#N/A N/A,-8,-1,4,50,29,23,4,16,4,4,23,9,5,0,#N/A N/A
5/31/1992,100.8,15,36,-17,0,22,0,16,0,#N/A N/A,16,6,14,14,33,-9,#N/A N/A,#N/A N/A,-9,-16,#N/A N/A,-8,2,4,54,30,24,4,15,5,5,22,7,5,0,#N/A N/A
6/30/1992,101.2,14,32,-14,1,28,3,14,-3,#N/A N/A,15,8,14,14,35,-7,#N/A N/A,#N/A N/A,-7,-14,#N/A N/A,-5,1,3,53,28,25,3,14,5,5,19,11,5,0,#N/A N/A
7/31/1992,99,12,23,-18,1,24,2,15,-1,#N/A N/A,16,5,17,13,35,-8,#N/A N/A,#N/A N/A,-8,-18,#N/A N/A,-6,-1,2,53,30,25,3,17,4,5,21,7,5,0,#N/A N/A
8/31/1992,99.9,12,21,-13,3,26,6,15,-1,#N/A N/A,13,4,14,12,31,-8,#N/A N/A,#N/A N/A,-6,-20,#N/A N/A,-6,4,6,52,29,22,3,16,5,6,22,10,4,0,#N/A N/A
9/30/1992,98.6,12,19,-19,2,27,2,15,-3,#N/A N/A,14,5,16,13,34,-10,#N/A N/A,#N/A N/A,-10,-18,#N/A N/A,-8,0,1,51,31,22,3,16,4,5,23,8,5,0,#N/A N/A
10/31/1992,98,11,16,-18,1,21,2,15,-2,#N/A N/A,14,6,17,15,34,-7,#N/A N/A,#N/A N/A,-9,-16,#N/A N/A,-5,-2,3,54,31,24,3,18,3,5,22,8,4,1,#N/A N/A
11/30/1992,100.4,12,19,-8,9,29,3,18,-2,#N/A N/A,15,7,17,10,33,-8,#N/A N/A,#N/A N/A,-8,-9,#N/A N/A,-5,1,2,55,31,25,3,16,4,6,20,9,5,0,#N/A N/A
12/31/1992,100.7,14,24,-12,2,28,0,17,-2,#N/A N/A,15,8,15,15,33,-8,#N/A N/A,#N/A N/A,-8,-6,#N/A N/A,-5,1,4,54,30,25,3,13,3,5,24,10,4,1,#N/A N/A
1/31/1993,100.6,14,20,-12,8,27,6,18,-1,#N/A N/A,16,7,16,16,33,-7,#N/A N/A,#N/A N/A,-7,-4,#N/A N/A,-2,0,6,55,32,25,3,14,3,5,22,10,6,0,#N/A N/A
2/28/1993,98.3,13,8,-15,4,22,4,20,-3,#N/A N/A,15,6,16,13,33,-8,#N/A N/A,#N/A N/A,-10,-2,#N/A N/A,-6,2,4,56,33,25,3,13,4,5,23,10,4,1,#N/A N/A
3/31/1993,97.4,10,-4,-17,2,18,5,19,-5,#N/A N/A,16,8,17,12,31,-7,#N/A N/A,#N/A N/A,-7,-6,#N/A N/A,-5,3,9,57,32,25,3,15,4,6,22,7,5,1,#N/A N/A
4/30/1993,95.4,12,-8,-22,0,13,3,20,-3,30,15,8,20,12,35,-7,34,10,-7,-10,#N/A N/A,-2,0,3,63,32,24,3,13,4,5,22,8,4,13,#N/A N/A
